student_id,skill_level,interest,time_available,past_performance,goal,recommended_topic,difficulty_level,resource_type
77,Intermediate,Web Development,1-2 hours,69,Academic,React.js,Easy,Article
78,Beginner,Data Science,2-4 hours,93,Hobby,Data Visualization,Easy,Video
79,Advanced,Python,4-6 hours,99,Certifications,Optimization,Hard,Interactive
80,Advanced,Web Development,2-4 hours,60,Hobby,Full Stack Architecture,Easy,Video
81,Intermediate,Python,2-4 hours,97,Academic,Web Scraping,Medium,Video
82,Intermediate,Web Development,4-6 hours,60,Career,React.js,Easy,Interactive
83,Intermediate,Python,6+ hours,64,Hobby,Data Structures,Easy,Book
84,Intermediate,Data Science,4-6 hours,100,Hobby,SQL for Data,Easy,Interactive
85,Beginner,Python,2-4 hours,75,Academic,Control Flow,Medium,Video
86,Intermediate,Python,4-6 hours,72,Certifications,Libraries (Pandas/NumPy),Medium,Interactive
87,Advanced,Mobile Development,4-6 hours,51,Career,Cross-platform Architecture,Easy,Interactive
88,Intermediate,Web Development,4-6 hours,52,Career,React.js,Easy,Interactive
89,Advanced,Machine Learning,4-6 hours,96,Academic,Model Deployment,Medium,Interactive
90,Intermediate,Mobile Development,1-2 hours,74,Hobby,Flutter/Dart,Easy,Article
91,Intermediate,Python,6+ hours,50,Hobby,Data Structures,Easy,Book
92,Intermediate,Machine Learning,1-2 hours,92,Academic,Model Evaluation,Medium,Article
93,Advanced,Data Science,1-2 hours,96,Academic,Advanced Visualization,Medium,Article
94,Advanced,Data Science,6+ hours,70,Certifications,Big Data Tools,Hard,Book
95,Advanced,Data Science,2-4 hours,62,Certifications,Deep Learning,Easy,Video
96,Advanced,Machine Learning,2-4 hours,89,Academic,Model Deployment,Medium,Video
97,Intermediate,Mobile Development,1-2 hours,69,Academic,React Native,Easy,Article
98,Beginner,Machine Learning,4-6 hours,79,Certifications,Math for ML,Easy,Interactive
99,Intermediate,Web Development,6+ hours,100,Hobby,APIs & Backend,Easy,Book
100,Advanced,Python,4-6 hours,82,Academic,System Design,Medium,Interactive
101,Beginner,Web Development,4-6 hours,64,Hobby,HTML/CSS Basics,Easy,Interactive
102,Beginner,Python,1-2 hours,65,Certifications,Python Basic,Easy,Article
103,Advanced,Python,6+ hours,76,Hobby,System Design,Easy,Book
104,Advanced,Machine Learning,6+ hours,75,Hobby,Reinforcement Learning,Easy,Book
105,Beginner,Python,1-2 hours,99,Certifications,Functions and Modules,Easy,Article
106,Beginner,Web Development,6+ hours,53,Hobby,HTML/CSS Basics,Easy,Book
107,Beginner,Machine Learning,2-4 hours,79,Academic,Math for ML,Medium,Video
108,Intermediate,Mobile Development,6+ hours,85,Certifications,App State Management,Medium,Book
109,Beginner,Machine Learning,6+ hours,66,Hobby,Python for ML,Easy,Book
110,Advanced,Data Science,6+ hours,90,Hobby,Advanced Visualization,Easy,Book
111,Intermediate,Machine Learning,1-2 hours,95,Academic,Model Evaluation,Medium,Article
112,Beginner,Data Science,4-6 hours,70,Career,Python for Data,Easy,Interactive
113,Beginner,Web Development,2-4 hours,74,Hobby,JavaScript Basics,Easy,Video
114,Advanced,Web Development,1-2 hours,76,Certifications,Microservices,Hard,Article
115,Intermediate,Mobile Development,6+ hours,76,Career,Flutter/Dart,Medium,Book
116,Beginner,Machine Learning,6+ hours,99,Career,ML Fundamentals,Hard,Book
117,Advanced,Machine Learning,6+ hours,50,Academic,Neural Networks,Easy,Book
118,Intermediate,Machine Learning,6+ hours,84,Hobby,Feature Engineering,Easy,Book
119,Intermediate,Web Development,4-6 hours,77,Certifications,Node.js,Medium,Interactive
120,Beginner,Machine Learning,4-6 hours,92,Certifications,ML Fundamentals,Easy,Interactive
121,Advanced,Web Development,6+ hours,58,Career,Full Stack Architecture,Easy,Book
122,Intermediate,Mobile Development,1-2 hours,55,Certifications,React Native,Easy,Article
123,Beginner,Machine Learning,2-4 hours,53,Academic,Python for ML,Easy,Video
124,Intermediate,Data Science,2-4 hours,79,Academic,ML Basics,Medium,Video
125,Intermediate,Machine Learning,4-6 hours,98,Certifications,Model Evaluation,Medium,Interactive
126,Intermediate,Python,6+ hours,51,Career,Data Structures,Easy,Book
127,Intermediate,Web Development,1-2 hours,99,Career,APIs & Backend,Hard,Article
128,Beginner,Web Development,2-4 hours,51,Hobby,HTML/CSS Basics,Easy,Video
129,Beginner,Web Development,6+ hours,92,Career,Responsive Design,Hard,Book
130,Advanced,Web Development,6+ hours,94,Academic,Performance Optimization,Medium,Book
131,Intermediate,Web Development,1-2 hours,99,Hobby,APIs & Backend,Easy,Article
132,Intermediate,Python,1-2 hours,69,Certifications,Data Structures,Easy,Article
133,Intermediate,Web Development,1-2 hours,87,Hobby,APIs & Backend,Easy,Article
134,Beginner,Data Science,1-2 hours,100,Career,Data Visualization,Hard,Article
135,Intermediate,Mobile Development,6+ hours,92,Academic,App State Management,Medium,Book
136,Beginner,Mobile Development,4-6 hours,50,Certifications,App Design Basics,Easy,Interactive
137,Intermediate,Python,6+ hours,73,Certifications,Libraries (Pandas/NumPy),Medium,Book
138,Advanced,Web Development,6+ hours,61,Academic,Full Stack Architecture,Easy,Book
139,Advanced,Mobile Development,6+ hours,79,Certifications,Performance Optimization,Hard,Book
140,Advanced,Mobile Development,4-6 hours,70,Hobby,Performance Optimization,Easy,Interactive
141,Beginner,Data Science,6+ hours,65,Certifications,Statistics Basics,Easy,Book
142,Advanced,Mobile Development,6+ hours,71,Career,Performance Optimization,Hard,Book
143,Intermediate,Data Science,2-4 hours,81,Hobby,ML Basics,Easy,Video
144,Intermediate,Data Science,4-6 hours,67,Academic,Pandas & Data Cleaning,Easy,Interactive
145,Advanced,Python,2-4 hours,55,Hobby,Decorators & Generators,Easy,Video
146,Advanced,Machine Learning,6+ hours,85,Hobby,Model Deployment,Easy,Book
147,Advanced,Machine Learning,6+ hours,78,Career,Reinforcement Learning,Hard,Book
148,Beginner,Data Science,2-4 hours,75,Hobby,Python for Data,Easy,Video
149,Intermediate,Mobile Development,4-6 hours,80,Academic,Flutter/Dart,Medium,Interactive
150,Intermediate,Mobile Development,4-6 hours,72,Certifications,Flutter/Dart,Medium,Interactive
151,Intermediate,Data Science,4-6 hours,64,Career,Pandas & Data Cleaning,Easy,Interactive
152,Advanced,Web Development,4-6 hours,57,Hobby,Full Stack Architecture,Easy,Interactive
153,Beginner,Web Development,6+ hours,67,Academic,HTML/CSS Basics,Easy,Book
154,Beginner,Web Development,4-6 hours,64,Academic,HTML/CSS Basics,Easy,Interactive
155,Beginner,Data Science,1-2 hours,95,Hobby,Data Visualization,Easy,Article
156,Intermediate,Python,1-2 hours,85,Academic,Web Scraping,Medium,Article
157,Advanced,Web Development,6+ hours,56,Career,Full Stack Architecture,Easy,Book
158,Advanced,Data Science,6+ hours,80,Certifications,Big Data Tools,Hard,Book
159,Intermediate,Web Development,1-2 hours,66,Certifications,React.js,Easy,Article
160,Beginner,Python,6+ hours,81,Career,Control Flow,Hard,Book
161,Advanced,Python,2-4 hours,59,Academic,Decorators & Generators,Easy,Video
162,Beginner,Web Development,1-2 hours,85,Certifications,Responsive Design,Easy,Article
163,Advanced,Mobile Development,2-4 hours,99,Certifications,Native Modules,Hard,Video
164,Intermediate,Machine Learning,4-6 hours,87,Certifications,Model Evaluation,Medium,Interactive
165,Intermediate,Mobile Development,1-2 hours,89,Career,App State Management,Hard,Article
166,Beginner,Web Development,4-6 hours,92,Career,Responsive Design,Hard,Interactive
167,Beginner,Web Development,2-4 hours,85,Career,Responsive Design,Hard,Video
168,Beginner,Python,6+ hours,78,Certifications,Control Flow,Easy,Book
169,Intermediate,Python,2-4 hours,68,Academic,Data Structures,Easy,Video
170,Advanced,Machine Learning,1-2 hours,93,Hobby,Model Deployment,Easy,Article
171,Intermediate,Mobile Development,2-4 hours,77,Career,Flutter/Dart,Medium,Video
172,Advanced,Web Development,2-4 hours,67,Hobby,Full Stack Architecture,Easy,Video
173,Beginner,Python,2-4 hours,100,Academic,Functions and Modules,Medium,Video
174,Advanced,Mobile Development,4-6 hours,78,Career,Performance Optimization,Hard,Interactive
175,Intermediate,Data Science,6+ hours,67,Certifications,Pandas & Data Cleaning,Easy,Book
176,Intermediate,Python,1-2 hours,77,Academic,Libraries (Pandas/NumPy),Medium,Article
177,Advanced,Data Science,1-2 hours,55,Hobby,Deep Learning,Easy,Article
178,Advanced,Mobile Development,1-2 hours,98,Academic,Native Modules,Medium,Article
179,Advanced,Python,2-4 hours,80,Certifications,System Design,Hard,Video
180,Intermediate,Web Development,6+ hours,90,Certifications,APIs & Backend,Medium,Book
181,Beginner,Machine Learning,4-6 hours,76,Academic,Math for ML,Medium,Interactive
182,Intermediate,Python,2-4 hours,71,Certifications,Libraries (Pandas/NumPy),Medium,Video
183,Advanced,Machine Learning,4-6 hours,92,Certifications,Model Deployment,Hard,Interactive
184,Advanced,Python,6+ hours,55,Academic,Decorators & Generators,Easy,Book
185,Intermediate,Data Science,1-2 hours,99,Certifications,SQL for Data,Medium,Article
186,Advanced,Python,6+ hours,76,Career,System Design,Hard,Book
187,Beginner,Mobile Development,4-6 hours,89,Certifications,UI/UX,Easy,Interactive
188,Advanced,Machine Learning,1-2 hours,63,Academic,Neural Networks,Easy,Article
189,Advanced,Web Development,4-6 hours,78,Certifications,Microservices,Hard,Interactive
190,Beginner,Python,2-4 hours,95,Hobby,Functions and Modules,Easy,Video
191,Intermediate,Mobile Development,1-2 hours,85,Certifications,App State Management,Medium,Article
192,Beginner,Web Development,1-2 hours,79,Career,JavaScript Basics,Easy,Article
193,Advanced,Web Development,6+ hours,95,Academic,Performance Optimization,Medium,Book
194,Advanced,Data Science,6+ hours,80,Certifications,Big Data Tools,Hard,Book
195,Beginner,Machine Learning,2-4 hours,74,Hobby,Math for ML,Easy,Video
196,Advanced,Mobile Development,2-4 hours,54,Academic,Cross-platform Architecture,Easy,Video
197,Intermediate,Data Science,4-6 hours,50,Academic,Pandas & Data Cleaning,Easy,Interactive
198,Advanced,Data Science,6+ hours,59,Certifications,Deep Learning,Easy,Book
199,Advanced,Machine Learning,4-6 hours,71,Certifications,Reinforcement Learning,Hard,Interactive
200,Intermediate,Data Science,2-4 hours,94,Hobby,SQL for Data,Easy,Video
201,Advanced,Machine Learning,2-4 hours,99,Certifications,Model Deployment,Hard,Video
202,Beginner,Data Science,6+ hours,95,Certifications,Data Visualization,Easy,Book
203,Intermediate,Web Development,6+ hours,52,Hobby,React.js,Easy,Book
204,Advanced,Mobile Development,4-6 hours,56,Certifications,Cross-platform Architecture,Easy,Interactive
205,Beginner,Mobile Development,6+ hours,50,Hobby,App Design Basics,Easy,Book
206,Intermediate,Web Development,1-2 hours,80,Academic,Node.js,Medium,Article
207,Intermediate,Mobile Development,6+ hours,91,Career,App State Management,Hard,Book
208,Intermediate,Mobile Development,6+ hours,70,Certifications,Flutter/Dart,Medium,Book
209,Advanced,Python,1-2 hours,65,Academic,Decorators & Generators,Easy,Article
210,Beginner,Python,6+ hours,56,Career,Python Basic,Easy,Book
211,Intermediate,Web Development,4-6 hours,51,Career,React.js,Easy,Interactive
212,Intermediate,Python,4-6 hours,72,Academic,Libraries (Pandas/NumPy),Medium,Interactive
213,Intermediate,Web Development,2-4 hours,83,Certifications,Node.js,Medium,Video
214,Advanced,Web Development,2-4 hours,61,Career,Full Stack Architecture,Easy,Video
215,Advanced,Machine Learning,2-4 hours,81,Hobby,Reinforcement Learning,Easy,Video
216,Beginner,Machine Learning,4-6 hours,79,Academic,Math for ML,Medium,Interactive
217,Advanced,Python,6+ hours,68,Hobby,Decorators & Generators,Easy,Book
218,Beginner,Machine Learning,4-6 hours,87,Academic,ML Fundamentals,Medium,Interactive
219,Advanced,Machine Learning,4-6 hours,79,Academic,Reinforcement Learning,Medium,Interactive
220,Beginner,Machine Learning,6+ hours,56,Hobby,Python for ML,Easy,Book
221,Intermediate,Mobile Development,4-6 hours,86,Academic,App State Management,Medium,Interactive
222,Advanced,Data Science,1-2 hours,92,Certifications,Advanced Visualization,Hard,Article
223,Intermediate,Python,1-2 hours,88,Certifications,Web Scraping,Medium,Article
224,Intermediate,Web Development,4-6 hours,64,Hobby,React.js,Easy,Interactive
225,Advanced,Data Science,2-4 hours,90,Career,Advanced Visualization,Hard,Video
226,Advanced,Python,4-6 hours,100,Certifications,Optimization,Hard,Interactive
227,Beginner,Mobile Development,4-6 hours,96,Hobby,UI/UX,Easy,Interactive
228,Beginner,Data Science,4-6 hours,97,Certifications,Data Visualization,Easy,Interactive
229,Beginner,Web Development,2-4 hours,100,Academic,Responsive Design,Medium,Video
230,Advanced,Mobile Development,4-6 hours,60,Academic,Cross-platform Architecture,Easy,Interactive
231,Intermediate,Data Science,4-6 hours,57,Certifications,Pandas & Data Cleaning,Easy,Interactive
232,Beginner,Web Development,2-4 hours,93,Certifications,Responsive Design,Easy,Video
233,Advanced,Data Science,1-2 hours,100,Certifications,Advanced Visualization,Hard,Article
234,Beginner,Data Science,1-2 hours,79,Academic,Python for Data,Medium,Article
235,Advanced,Data Science,6+ hours,90,Academic,Advanced Visualization,Medium,Book
236,Beginner,Web Development,6+ hours,51,Academic,HTML/CSS Basics,Easy,Book
237,Advanced,Web Development,1-2 hours,90,Certifications,Performance Optimization,Hard,Article
238,Advanced,Data Science,6+ hours,57,Hobby,Deep Learning,Easy,Book
239,Beginner,Python,4-6 hours,81,Career,Control Flow,Hard,Interactive
240,Beginner,Web Development,2-4 hours,74,Certifications,JavaScript Basics,Easy,Video
241,Intermediate,Mobile Development,6+ hours,87,Hobby,App State Management,Easy,Book
242,Intermediate,Python,6+ hours,89,Certifications,Web Scraping,Medium,Book
243,Intermediate,Python,4-6 hours,63,Certifications,Data Structures,Easy,Interactive
244,Intermediate,Web Development,4-6 hours,56,Academic,React.js,Easy,Interactive
245,Advanced,Data Science,1-2 hours,75,Academic,Big Data Tools,Medium,Article
246,Beginner,Python,6+ hours,55,Hobby,Python Basic,Easy,Book
247,Advanced,Mobile Development,1-2 hours,53,Academic,Cross-platform Architecture,Easy,Article
248,Beginner,Web Development,2-4 hours,54,Hobby,HTML/CSS Basics,Easy,Video
249,Advanced,Web Development,2-4 hours,71,Hobby,Microservices,Easy,Video
250,Advanced,Python,4-6 hours,59,Hobby,Decorators & Generators,Easy,Interactive
251,Advanced,Data Science,2-4 hours,57,Career,Deep Learning,Easy,Video
252,Beginner,Python,4-6 hours,100,Hobby,Functions and Modules,Easy,Interactive
253,Advanced,Data Science,1-2 hours,61,Academic,Deep Learning,Easy,Article
254,Beginner,Web Development,6+ hours,83,Career,JavaScript Basics,Hard,Book
255,Advanced,Python,6+ hours,78,Academic,System Design,Medium,Book
256,Advanced,Mobile Development,1-2 hours,78,Hobby,Performance Optimization,Easy,Article
257,Advanced,Python,4-6 hours,79,Career,System Design,Hard,Interactive
258,Beginner,Machine Learning,6+ hours,77,Career,Math for ML,Easy,Book
259,Intermediate,Machine Learning,1-2 hours,55,Academic,Scikit-learn,Easy,Article
260,Advanced,Web Development,1-2 hours,58,Academic,Full Stack Architecture,Easy,Article
261,Advanced,Mobile Development,4-6 hours,74,Academic,Performance Optimization,Medium,Interactive
262,Intermediate,Mobile Development,6+ hours,56,Career,React Native,Easy,Book
263,Advanced,Mobile Development,2-4 hours,77,Certifications,Performance Optimization,Hard,Video
264,Beginner,Machine Learning,4-6 hours,79,Certifications,Math for ML,Easy,Interactive
265,Intermediate,Python,4-6 hours,77,Academic,Libraries (Pandas/NumPy),Medium,Interactive
266,Advanced,Data Science,4-6 hours,59,Certifications,Deep Learning,Easy,Interactive
267,Beginner,Python,1-2 hours,55,Certifications,Python Basic,Easy,Article
268,Beginner,Data Science,2-4 hours,85,Career,Data Visualization,Hard,Video
269,Advanced,Mobile Development,4-6 hours,92,Career,Native Modules,Hard,Interactive
270,Intermediate,Data Science,6+ hours,96,Career,SQL for Data,Hard,Book
271,Intermediate,Mobile Development,4-6 hours,72,Career,Flutter/Dart,Medium,Interactive
272,Advanced,Mobile Development,2-4 hours,59,Certifications,Cross-platform Architecture,Easy,Video
273,Beginner,Python,4-6 hours,85,Academic,Functions and Modules,Medium,Interactive
274,Beginner,Data Science,2-4 hours,77,Career,Python for Data,Easy,Video
275,Advanced,Data Science,1-2 hours,61,Academic,Deep Learning,Easy,Article
276,Advanced,Data Science,4-6 hours,72,Career,Big Data Tools,Hard,Interactive
277,Beginner,Web Development,6+ hours,54,Hobby,HTML/CSS Basics,Easy,Book
278,Advanced,Python,1-2 hours,97,Hobby,Optimization,Easy,Article
279,Intermediate,Machine Learning,6+ hours,71,Hobby,Feature Engineering,Easy,Book
280,Intermediate,Data Science,4-6 hours,99,Career,SQL for Data,Hard,Interactive
281,Beginner,Web Development,2-4 hours,98,Career,Responsive Design,Hard,Video
282,Advanced,Python,4-6 hours,78,Certifications,System Design,Hard,Interactive
283,Intermediate,Mobile Development,6+ hours,76,Academic,Flutter/Dart,Medium,Book
284,Beginner,Mobile Development,1-2 hours,72,Certifications,Programming Fundamentals,Easy,Article
285,Beginner,Data Science,6+ hours,83,Academic,Python for Data,Medium,Book
286,Beginner,Web Development,6+ hours,88,Career,Responsive Design,Hard,Book
287,Beginner,Web Development,4-6 hours,63,Hobby,HTML/CSS Basics,Easy,Interactive
288,Intermediate,Data Science,4-6 hours,57,Career,Pandas & Data Cleaning,Easy,Interactive
289,Intermediate,Machine Learning,2-4 hours,58,Certifications,Scikit-learn,Easy,Video
290,Advanced,Web Development,4-6 hours,54,Certifications,Full Stack Architecture,Easy,Interactive
291,Advanced,Python,6+ hours,51,Certifications,Decorators & Generators,Easy,Book
292,Beginner,Data Science,6+ hours,86,Certifications,Data Visualization,Easy,Book
293,Advanced,Machine Learning,4-6 hours,57,Certifications,Neural Networks,Easy,Interactive
294,Beginner,Data Science,2-4 hours,89,Certifications,Data Visualization,Easy,Video
295,Advanced,Data Science,1-2 hours,77,Career,Big Data Tools,Hard,Article
296,Beginner,Machine Learning,6+ hours,83,Career,Math for ML,Hard,Book
297,Intermediate,Data Science,4-6 hours,64,Academic,Pandas & Data Cleaning,Easy,Interactive
298,Beginner,Python,1-2 hours,83,Hobby,Control Flow,Easy,Article
299,Intermediate,Data Science,2-4 hours,65,Career,Pandas & Data Cleaning,Easy,Video
300,Beginner,Data Science,2-4 hours,61,Hobby,Statistics Basics,Easy,Video
301,Advanced,Python,2-4 hours,99,Certifications,Optimization,Hard,Video
302,Intermediate,Mobile Development,6+ hours,93,Academic,App State Management,Medium,Book
303,Advanced,Data Science,2-4 hours,78,Career,Big Data Tools,Hard,Video
304,Intermediate,Machine Learning,4-6 hours,100,Academic,Model Evaluation,Medium,Interactive
305,Advanced,Python,4-6 hours,82,Career,System Design,Hard,Interactive
306,Intermediate,Machine Learning,6+ hours,52,Career,Scikit-learn,Easy,Book
307,Intermediate,Data Science,1-2 hours,91,Career,SQL for Data,Hard,Article
308,Advanced,Mobile Development,6+ hours,79,Career,Performance Optimization,Hard,Book
309,Intermediate,Mobile Development,2-4 hours,70,Certifications,Flutter/Dart,Medium,Video
310,Advanced,Web Development,1-2 hours,78,Career,Microservices,Hard,Article
311,Intermediate,Python,2-4 hours,52,Hobby,Data Structures,Easy,Video
312,Advanced,Machine Learning,6+ hours,83,Hobby,Reinforcement Learning,Easy,Book
313,Intermediate,Data Science,4-6 hours,74,Certifications,ML Basics,Medium,Interactive
314,Intermediate,Mobile Development,1-2 hours,100,Academic,App State Management,Medium,Article
315,Beginner,Data Science,1-2 hours,85,Certifications,Data Visualization,Easy,Article
316,Intermediate,Data Science,2-4 hours,71,Career,ML Basics,Medium,Video
317,Advanced,Web Development,4-6 hours,69,Certifications,Full Stack Architecture,Easy,Interactive
318,Beginner,Mobile Development,1-2 hours,69,Certifications,App Design Basics,Easy,Article
319,Advanced,Data Science,2-4 hours,92,Career,Advanced Visualization,Hard,Video
320,Advanced,Machine Learning,4-6 hours,51,Academic,Neural Networks,Easy,Interactive
321,Intermediate,Web Development,2-4 hours,71,Certifications,Node.js,Medium,Video
322,Beginner,Web Development,2-4 hours,59,Career,HTML/CSS Basics,Easy,Video
323,Intermediate,Python,1-2 hours,92,Academic,Web Scraping,Medium,Article
324,Advanced,Web Development,6+ hours,59,Hobby,Full Stack Architecture,Easy,Book
325,Beginner,Mobile Development,2-4 hours,96,Certifications,UI/UX,Easy,Video
326,Beginner,Machine Learning,4-6 hours,93,Hobby,ML Fundamentals,Easy,Interactive
327,Intermediate,Mobile Development,4-6 hours,98,Certifications,App State Management,Medium,Interactive
328,Beginner,Mobile Development,2-4 hours,69,Certifications,App Design Basics,Easy,Video
329,Beginner,Data Science,6+ hours,79,Academic,Python for Data,Medium,Book
330,Intermediate,Mobile Development,6+ hours,60,Hobby,React Native,Easy,Book
331,Advanced,Web Development,4-6 hours,53,Certifications,Full Stack Architecture,Easy,Interactive
332,Intermediate,Mobile Development,1-2 hours,95,Career,App State Management,Hard,Article
333,Intermediate,Python,2-4 hours,67,Certifications,Data Structures,Easy,Video
334,Advanced,Web Development,6+ hours,55,Hobby,Full Stack Architecture,Easy,Book
335,Intermediate,Data Science,1-2 hours,76,Career,ML Basics,Medium,Article
336,Intermediate,Mobile Development,4-6 hours,65,Certifications,React Native,Easy,Interactive
337,Beginner,Data Science,2-4 hours,51,Academic,Statistics Basics,Easy,Video
338,Beginner,Data Science,2-4 hours,58,Career,Statistics Basics,Easy,Video
339,Intermediate,Machine Learning,2-4 hours,98,Certifications,Model Evaluation,Medium,Video
340,Intermediate,Mobile Development,1-2 hours,55,Career,React Native,Easy,Article
341,Intermediate,Web Development,2-4 hours,85,Certifications,APIs & Backend,Medium,Video
